,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,group_num,ppl_num,max_num,ticket_Earth55 Cancri e,ticket_EarthPSO J318.5-22,ticket_EarthTRAPPIST-1e,ticket_Europa55 Cancri e,ticket_EuropaPSO J318.5-22,ticket_EuropaTRAPPIST-1e,ticket_Mars55 Cancri e,ticket_MarsPSO J318.5-22,ticket_MarsTRAPPIST-1e,cabin_row,expense,sum_expense,cabin_class_A,cabin_class_B,cabin_class_C,cabin_class_D,cabin_class_E,cabin_class_F,cabin_class_G,cabin_class_T,cabin_side_P,cabin_side_S
0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,0,0001,01,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1,0
1,0,24.0,0,109.0,9.0,25.0,549.0,44.0,1,0002,01,1,0,0,1,0,0,0,0,0,0,0,736.0,736.0,0,0,0,0,0,1,0,0,0,1
2,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,0003,01,2,0,0,0,0,0,1,0,0,0,0,10383.0,10383.0,1,0,0,0,0,0,0,0,0,1
3,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0,0003,02,2,0,0,0,0,0,1,0,0,0,0,5176.0,5176.0,1,0,0,0,0,0,0,0,0,1
4,0,16.0,0,303.0,70.0,151.0,565.0,2.0,1,0004,01,1,0,0,1,0,0,0,0,0,0,1,1091.0,1091.0,0,0,0,0,0,1,0,0,0,1
5,0,44.0,0,0.0,483.0,0.0,291.0,0.0,1,0005,01,1,0,1,0,0,0,0,0,0,0,0,774.0,774.0,0,0,0,0,0,1,0,0,1,0
6,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,1,0006,01,2,0,0,1,0,0,0,0,0,0,2,1584.0,1584.0,0,0,0,0,0,1,0,0,0,1
7,1,28.0,0,0.0,0.0,0.0,0.0,0.0,1,0006,02,2,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,1
8,0,35.0,0,0.0,785.0,17.0,216.0,0.0,1,0007,01,1,0,0,1,0,0,0,0,0,0,3,1018.0,1018.0,0,0,0,0,0,1,0,0,0,1
9,1,14.0,0,0.0,0.0,0.0,0.0,0.0,1,0008,01,3,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0,0,1,0
10,1,34.0,0,0.0,0.0,0.0,0.0,0.0,1,0008,02,3,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0,0,1,0
11,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,0008,03,3,0,0,0,1,0,0,0,0,0,1,8157.0,8157.0,0,1,0,0,0,0,0,0,1,0
12,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,0009,01,1,0,0,0,0,0,0,0,0,1,1,1309.0,1309.0,0,0,0,0,0,1,0,0,1,0
13,0,48.0,0,719.0,1.0,65.0,0.0,24.0,0,0010,01,1,0,0,1,0,0,0,0,0,0,1,809.0,809.0,0,0,0,0,0,0,1,0,0,1
14,0,28.0,0,8.0,974.0,12.0,2.0,7.0,1,0011,01,1,0,0,1,0,0,0,0,0,0,2,1003.0,1003.0,0,0,0,0,0,1,0,0,1,0
15,0,31.0,0,32.0,0.0,876.0,0.0,0.0,0,0012,01,1,0,0,1,0,0,0,0,0,0,3,908.0,908.0,0,0,0,0,0,1,0,0,1,0
16,0,27.0,0,1286.0,122.0,0.0,0.0,0.0,0,0014,01,1,0,0,0,0,0,0,1,0,0,3,1408.0,1408.0,0,0,0,0,0,1,0,0,1,0
17,0,24.0,0,0.0,1.0,0.0,0.0,637.0,0,0015,01,1,1,0,0,0,0,0,0,0,0,4,638.0,638.0,0,0,0,0,0,1,0,0,1,0
18,1,45.0,0,0.0,0.0,0.0,0.0,0.0,1,0016,01,1,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0,0,0,0,0,1,0,0,1,0
19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0017,01,2,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0
20,0,14.0,0,412.0,0.0,1.0,0.0,679.0,0,0017,02,2,1,0,0,0,0,0,0,0,0,6,1092.0,1092.0,0,0,0,0,0,1,0,0,1,0
21,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0020,01,6,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,1
22,1,49.0,0,0.0,0.0,0.0,0.0,0.0,0,0020,02,6,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,1
23,1,29.0,0,0.0,0.0,0.0,0.0,0.0,0,0020,03,6,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,1
